,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Temperature","Used Space"
04/26/2023 18:35:48,80.57692,76.92307,69.2307739,73.07692,70.7692261,66.92307,72.9166641,67,61,72,63,65,64,71,3688.62573,3688.62573,3688.62573,3588.933,3688.62573,3688.62573,47.31766,44.33299,0.14395237,1.93772054,99.69259,17.8018875,5.65239334,26.0992584,35,1350.00012,6000.98438,0,1,0,0,0,4096,202.523438,3893.47656,4.94442,15.3410006,6.8359375,1.953125,25,39.8857536
04/26/2023 18:35:49,89.1226,86.71875,86.71875,92.1875,81.25,82.8125,86.46835,64,62,71,64,69,65,69,3688.631,3688.631,3688.631,3688.631,3788.32373,3688.631,53.33122,50.385643,0.0436313637,2.034165,99.69273,18.3491669,5.82616425,25.9254875,36,1350.00012,6000.98438,0,1,0,0,0,4096,217.085938,3878.914,5.29994965,15.3480005,0,482.421875,25,39.8857536
04/26/2023 18:35:51,87.69231,81.53846,82.30769,86.92307,83.84615,83.07693,84.23077,60,63,72,61,61,65,72,3688.62817,3987.7063,3688.62817,3888.01343,3688.62817,3888.01343,51.55556,48.6227226,0.0407099165,1.948648,99.69266,18.1187286,5.75299454,25.9986572,37,1350.00012,6000.98438,0,1,0,0,0,4096,271.875,3824.125,6.63757324,15.3340006,0,0,25,39.8857536
04/26/2023 18:35:52,64.61538,23.84615,46.1538429,39.2307625,32.30769,42.3076935,41.4102631,54,48,71,53,68,53,68,4087.39819,3987.70557,3788.32031,3688.62769,3788.32031,3888.013,37.34118,34.8633728,0.03416242,1.02170432,99.69264,18.1531143,5.763912,25.98774,37,1350.00012,6000.98438,0,0,0,0,0,4096,527.5781,3568.42188,12.8803253,15.361001,0,0,25,39.8857536
04/26/2023 18:35:52,57.8125,33.59375,38.28125,30.46875,30.46875,33.59375,37.3697929,51,48,54,52,52,50,54,3788.31982,3588.93457,3489.242,4187.09033,3888.01245,3788.31982,35.27514,31.775795,0.0537608042,1.26882935,99.69263,18.34626,5.825241,25.92641,36,345.000031,405.000031,0,2,0,0,3,4096,526.1797,3569.82031,12.8461838,3.2440002,0,0,25,39.8857536
04/26/2023 18:35:54,46.09375,36.71875,33.59375,31.25,25,34.375,34.5052071,63,53,56,53,49,70,70,3588.93579,3588.93579,3788.321,3688.62842,3987.7063,3688.62842,36.27934,32.455,0.0425393134,1.5161401,99.69266,18.3202667,5.816986,25.9346657,37,345.000031,405.000031,0,12,2,0,7,4096,515.9492,3580.05078,12.5964165,1.9180001,1.953125,0,25,39.8857536
04/26/2023 18:35:55,17.96875,18.849205,16.46825,15.6994047,9.375,27.34375,17.6174,43,42,43,42,43,42,43,3588.9353,3788.32056,4585.862,3588.9353,3788.32056,4087.39844,21.9868088,18.5732365,0.0191377066,0.9368186,99.69264,18.3339844,5.82134247,25.93031,37,300,405.000031,0,6,1,0,4,4096,515.9492,3580.05078,12.5964165,2.06000018,0,0,25,39.8857536
04/26/2023 18:35:55,12.5,27.23558,10.0961571,7.00721169,7.03125,14.0625,12.9887819,51,49,52,50,60,50,60,3987.706,4286.78369,4286.78369,3987.706,3987.706,3688.628,26.7715054,23.160965,0.0363244638,1.10246623,99.69265,18.5156937,5.87904,25.872612,37,300,405.000031,0,0,0,0,0,4096,522.710938,3573.289,12.7614975,3.2,15.625,484.375,25,39.8857536
04/26/2023 18:35:56,33.59375,37.5,28.90625,30.46875,42.1875,35.9375,34.765625,52,48,51,49,55,50,56,3588.935,3588.935,3588.935,3688.62769,3588.935,3588.935,33.579895,29.308897,0.170994043,1.66425776,99.69264,18.8512573,5.98558426,25.7660675,37,300,405.000031,0,23,4,0,13,4096,556.289063,3539.711,13.5812759,2.444,0,0,25,39.8857536
